number,sentence,question,correct,answer2
57,"Антон написал другу капитана, жившего за границей.",Кто жил за границей?,капитан,друг
58,"Все сочувствовали переводчику дипломата, попавшего в тяжелое положение.",Кто попал в тяжелое положение?,дипломат,переводчик
59,"Мы не согласны с преподавателем студента, жаловавшегося в министерство.",Кто жаловался?,студент,преподаватель
60,"Зрители заметили подругу артистки, вышедшей на сцену.",Кто вышел на сцену?,артистка,подруга
61,"Полицейский дал советы телохранителю бизнесмена, боявшегося аварии.",Кто боялся аварии?,бизнесмен,телохранитель
62,"Мы обратились к гиду туриста, подошедшего к автобусу.",Кто подошел к автобусу?,турист,гид
63,"Мужчина, который вчера привез домой музыканта, очень спешил.",Кто очень спешил?,мужчина,музыкант
64,"Чемпион, которого толкнул в спину судья, упал на пол и ударился головой.",Кого толкнули в спину?,чемпиона,судью
65,"Гимнаст, которого встречал кассир, владел несколькими цирковыми костюмами.",Кто встречал?,кассир,гимнаст
66,"Директор, которого предупредил о возможном землетрясении друг, прослушал информацию.",Кого предупредили о землетрясении?,директора,друга
67,"Пианист, которому сделал колкое замечание скрипач, очень обиделся.",Кому сделали замечание?,пианисту,скрипачу
68,"Судья, которого адвокат ждал в кабинете, так и не пришел к назначенному времени.",Кто ждал в кабинете?,адвокат,судья
69,"Учитель, которого так долго ждала ученица, не пришел в кабинет.",Кого ждали?,учителя,ученицу
70,"Учитель, которому ученик надоел своими шутками, перешёл на работу в другую школу.",Кому надоели шутки?,учителю,ученику
71,"После того как Катя вымоет посуду, Вася сделает бутерброды.",Что произойдёт раньше?,Катя вымоет посуду,Вася сделает бутерброды
72,"Перед тем как папа вернулся домой, мама ушла в парк.",Что произошло позже?,папа вернулся,мама ушла
73,"Перед тем как девушка соберёт букет, директор поговорит с клиентом.",Что произойдёт раньше?,директор поговорит с клиентом,девушка соберёт букет
74,"Перед тем как Толя помоет пол, Юля погуляет с собакой.",Что произойдёт позже?,Толя помоет пол,Юля погуляет с собакой
75,"Перед тем как Люда приготовит борщ, Зина помоет тарелку.",Что произойдёт раньше?,Зина помоет тарелку,Люда сварит борщ
76,"После того как Аня выгуляла собаку, Лиза покормила кота.",Что произошло раньше?,Аня выгуляла собаку,Лиза покормила кота
77,"После того как Саша заправит кровать, Анна протрёт пыль.",Что произойдёт позже?,Анна протрёт пыль,Саша заправит кровать
78,"После того как Наташа позавтракает, Лана погладит рубашку.",Что произойдёт позже?,Лана погладит рубашку,Наташа позавтракает
